shortname,fullname,category,enrolement
Klasseneinteilung-Wechselmodell 07A, Klasseneinteilung-Wechselmodell 07A,,self
Klasseneinteilung-Wechselmodell 07B, Klasseneinteilung-Wechselmodell 07B,,self
Klasseneinteilung-Wechselmodell 07C, Klasseneinteilung-Wechselmodell 07C,,self
Klasseneinteilung-Wechselmodell 07D, Klasseneinteilung-Wechselmodell 07D,,self
Klasseneinteilung-Wechselmodell 08A, Klasseneinteilung-Wechselmodell 08A,,self
Klasseneinteilung-Wechselmodell 08B, Klasseneinteilung-Wechselmodell 08B,,self
Klasseneinteilung-Wechselmodell 08C, Klasseneinteilung-Wechselmodell 08C,,self
Klasseneinteilung-Wechselmodell 08D, Klasseneinteilung-Wechselmodell 08D,,self
Klasseneinteilung-Wechselmodell 08E, Klasseneinteilung-Wechselmodell 08E,,self
Klasseneinteilung-Wechselmodell 09A, Klasseneinteilung-Wechselmodell 09A,,self
Klasseneinteilung-Wechselmodell 09B, Klasseneinteilung-Wechselmodell 09B,,self
Klasseneinteilung-Wechselmodell 09C, Klasseneinteilung-Wechselmodell 09C,,self
Klasseneinteilung-Wechselmodell 09D, Klasseneinteilung-Wechselmodell 09D,,self
Klasseneinteilung-Wechselmodell 09E, Klasseneinteilung-Wechselmodell 09E,,self
Klasseneinteilung-Wechselmodell 10A, Klasseneinteilung-Wechselmodell 10A,,self
Klasseneinteilung-Wechselmodell 10B, Klasseneinteilung-Wechselmodell 10B,,self
Klasseneinteilung-Wechselmodell 10D, Klasseneinteilung-Wechselmodell 10D,,self
Klasseneinteilung-Wechselmodell 10E, Klasseneinteilung-Wechselmodell 10E,,self
Klasseneinteilung-Wechselmodell 10F, Klasseneinteilung-Wechselmodell 10F,,self
Klasseneinteilung-Wechselmodell 11A, Klasseneinteilung-Wechselmodell 11A,,self
Klasseneinteilung-Wechselmodell 11B, Klasseneinteilung-Wechselmodell 11B,,self
Klasseneinteilung-Wechselmodell 11C, Klasseneinteilung-Wechselmodell 11C,,self
Klasseneinteilung-Wechselmodell 11D, Klasseneinteilung-Wechselmodell 11D,,self
