shortname,fullname,category,enrolment_1,enrolment_1_role
KL-Stunde 05A,KL-Stunde 05A,,self,teacher
KL-Stunde 05B,KL-Stunde 05B,,self,teacher
KL-Stunde 05C,KL-Stunde 05C,,self,teacher
KL-Stunde 05D,KL-Stunde 05D,,self,teacher
KL-Stunde 06A,KL-Stunde 06A,,self,teacher
KL-Stunde 06B,KL-Stunde 06B,,self,teacher
KL-Stunde 06C,KL-Stunde 06C,,self,teacher
KL-Stunde 06D,KL-Stunde 06D,,self,teacher
KL-Stunde 07A,KL-Stunde 07A,,self,teacher
KL-Stunde 07B,KL-Stunde 07B,,self,teacher
KL-Stunde 07C,KL-Stunde 07C,,self,teacher
KL-Stunde 07D,KL-Stunde 07D,,self,teacher
KL-Stunde 08A,KL-Stunde 08A,,self,teacher
KL-Stunde 08B,KL-Stunde 08B,,self,teacher
KL-Stunde 08C,KL-Stunde 08C,,self,teacher
KL-Stunde 08D,KL-Stunde 08D,,self,teacher
KL-Stunde 09A,KL-Stunde 09A,,self,teacher
KL-Stunde 09B,KL-Stunde 09B,,self,teacher
KL-Stunde 09C,KL-Stunde 09C,,self,teacher
KL-Stunde 09D,KL-Stunde 09D,,self,teacher
KL-Stunde 10A,KL-Stunde 10A,,self,teacher
KL-Stunde 10B,KL-Stunde 10B,,self,teacher
KL-Stunde 10C,KL-Stunde 10C,,self,teacher
KL-Stunde 10D,KL-Stunde 10D,,self,teacher
KL-Stunde 11A,KL-Stunde 11A,,self,teacher
KL-Stunde 11B,KL-Stunde 11B,,self,teacher
KL-Stunde 11C,KL-Stunde 11C,,self,teacher
KL-Stunde 11D,KL-Stunde 11D,,self,teacher
KL-Stunde 12A,KL-Stunde 12A,,self,teacher
KL-Stunde 12B,KL-Stunde 12B,,self,teacher
KL-Stunde 12C,KL-Stunde 12C,,self,teacher
KL-Stunde 12D,KL-Stunde 12D,,self,teacher
KL-Stunde 13A,KL-Stunde 13A,,self,teacher
KL-Stunde 13B,KL-Stunde 13B,,self,teacher
KL-Stunde 13C,KL-Stunde 13C,,self,teacher
KL-Stunde 13D,KL-Stunde 13D,,self,teacher
